Estado,inicio,varinicio,varfim,int,real,lit,leia,escreva,literal,num,id,rcb,opm,se,entao,(,),opr,fimse,;,fim,$,P*,P,V,A,LV,D,TIPO,ES,ARG,CMD,LD,OPRD,COND,CABECALHO,CORPO,EXP_R
1,S3,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,,2,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,ACC,,,,,,,,,,,,,,,,
3,E7,S4,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,,,11,,,,,,,,,,,,,
4,,,S6,,,,,,,,S7,,,,,,,,,E11,,,,,,,5,9,,,,,,,,,,
5,,,,,,,R3,R3,,,R3,,,R3,,,,,,,R3,,,,,,,,,,,,,,,,,
6,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,S59,E1,E1,,,,,,,,,,,,,,,,
7,,,,S58,S57,S56,,,,,,,,,,,,,,E8,,,,,,,,,8,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,S25,,,,,,,,,,,,,,,,,,
9,,,S6,,,,,,,,S7,,,,,,,,,,,,,,,,10,9,,,,,,,,,,
10,,,,,,,R4,R4,,,R4,,,R4,,,,,,,R4,,,,,,,,,,,,,,,,,
11,,,,,,,S14,S15,,,S12,,,,,,,,,,S13,,,,,16,,,,42,,44,,,43,17,,
12,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,S18,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,R30,,,,,,,,,,,,,,,,
14,,,,,,,,,,,S27,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,S33,S32,S31,,,,,,,,,,,,,,,,,,,,29,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,R2,,,,,,,,,,,,,,,,
17,,,,,,,S14,S15,,,S12,,,S45,,,,,S60,,,,,,,,,,,35,,37,,,39,17,34,
18,,,,,,,,,,S21,S20,,,,,,,,,,,,,,,,,,,,,,19,22,,,,
19,,,,,,,,,,,,,,,,,,,,S26,,,,,,,,,,,,,,,,,,
20,E3,E3,E3,E3,E3,E3,E3,E3,E3,E3,E3,E3,R20,E3,E3,E3,R20,R20,E3,R20,E3,E3,,,,,,,,,,,,,,,,
21,E3,E3,E3,E3,E3,E3,E3,E3,E3,E3,E3,E3,R21,E3,E3,E3,R21,R21,E3,R21,E3,E3,,,,,,,,,,,,,,,,
